,assignee.name,components,created,creator.name,description,fixVersions,issuetype.name,issuetype.subtask,priority.name,reporter.name,resolution.description,resolution.name,resolutiondate,status.id,status.name,status.statusCategory.name,summary,updated,versions,watches.watchCount,key,storypoints,project,sprint
10,abilan,"[{u'id': u'12695', u'self': u'https://jira.spring.io/rest/api/2/component/12695', u'description': u'DIRT Runtime', u'name': u'Runtime'}]",2016-02-17T14:28:31.000+0000,grussell,See INT-3956,"[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Bug,False,Minor,grussell,,Complete,2016-02-21T02:28:25.000+0000,10001,Done,In Progress,Update to Spring Integration 4.2.5 When Available (Fix Metrics),2016-02-21T02:28:25.000+0000,"[{u'archived': False, u'description': u'1.3.0 GA Release', u'self': u'https://jira.spring.io/rest/api/2/version/15101', u'releaseDate': u'2015-11-19', u'released': True, u'id': u'15101', u'name': u'1.3 GA'}]",2,XD-3743,1.0,xd,Sprint 68
11,dturanski,[],2016-02-16T14:59:06.000+0000,dturanski,"The following XD components have been identified to support SSL via an `sslProperties` property which points to the location of a properties file. The properties encryption extension for 1.3.1 does not currently apply to these:

  * Rabbit Message Bus
  * Rabbit Source
  * Rabbit Sink
  * Http Source (NettyHttpInboundChannelAdapter). 

This can be made to work in the case of Rabbit since the latest RabbitConnectionFactoryBean supports individual SSL properties settings as an alternative to the properties file. The http source may be extended to use the same approach.","[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Improvement,False,Minor,dturanski,,Complete,2016-02-19T20:04:19.000+0000,10001,Done,In Progress,Enable in line SSL properties as an alternative to external properties files,2016-02-23T18:21:39.000+0000,[],1,XD-3742,3.0,xd,Sprint 68
12,,[],2016-02-13T19:04:24.000+0000,stefano.massera," As a Flo for Spring XD user, I would like to be able to create a new stream using the graphicat UI. 

This flow should be shown in a graphical way also in definition tab.
!http://example.com/image.png!
Right now it doesn't happen due to a javascript error.

{code}
TypeError: this.node.getTransformToElement is not a function
    at Object.VElement.bbox (http://localhost:9393/admin-ui/lib/joint/src/vectorizer.js:323:36)
    at joint.dia.ElementView.joint.dia.CellView.extend.positionRelative (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2740:51)
    at null.<anonymous> (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2710:18)
    at http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:1177:23
    at eval (eval at createIterator (http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:1:0), <anonymous>:10:9)
    at Function.forEach (http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:3645:9)
    at joint.dia.ElementView.joint.dia.CellView.extend.update (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2700:11)
    at bound [as update] (http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:1005:21)
    at joint.dia.ElementView.joint.dia.CellView.extend.render (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2903:14)
    at joint.dia.Paper.Backbone.View.extend.addCell (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:5004:14)(anonymous function) @ :9393/admin-ui/lib/angular/angular.js:11500
:9393!attachment-name.jpg|thumbnail!
{code}
","[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Bug,False,Major,stefano.massera,,Complete,2016-02-21T02:28:36.000+0000,10001,Done,In Progress,[Flo] Stream creation/definitions doesn't show any component,2016-02-21T02:28:36.000+0000,"[{u'archived': False, u'description': u'1.3.0 GA Release', u'self': u'https://jira.spring.io/rest/api/2/version/15101', u'releaseDate': u'2015-11-19', u'released': True, u'id': u'15101', u'name': u'1.3 GA'}]",2,XD-3741,1.0,xd,Sprint 68
13,iperumal,[],2016-02-11T17:45:54.000+0000,dgarcia,"The maxWait property from server.yml in the message bus section for kafka is not propagated through the code, it is ignored.","[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Bug,False,Minor,dgarcia,,Complete,2016-02-21T02:28:21.000+0000,10001,Done,In Progress,Kafka message bus maxWait property is not set up,2016-02-21T02:28:21.000+0000,"[{u'archived': False, u'name': u'1.3 GA', u'self': u'https://jira.spring.io/rest/api/2/version/15101', u'releaseDate': u'2015-11-19', u'released': True, u'id': u'15101', u'description': u'1.3.0 GA Release'}]",1,XD-3740,1.0,xd,Sprint 68
14,grussell,"[{u'id': u'12731', u'self': u'https://jira.spring.io/rest/api/2/component/12731', u'description': u'Development of source, processing, sink module functionality', u'name': u'Stream Module'}]",2016-02-05T16:01:49.000+0000,david_geary,"All modules that allow groovy implementations (filter, script, transform, router, tcpclient) allow automatic refresh of the script when it changes. In the XD documentation it is stated that this refresh occurs every minute eg for filter at http://docs.spring.io/spring-xd/docs/1.3.0.RELEASE/reference/html/#filter ""The script is checked for updates every 60 seconds, so it may be replaced in a running system. "" 

This set up can be seen in the spring xml for the modules - eg (again for filter)

{code:xml}
<filter input-channel=""to.script"" output-channel=""output"">
	<int-groovy:script location=""${script:filter.groovy}"" script-variable-generator=""variableGenerator"" refresh-check-delay=""60""/>
</filter>
{code}

However from the spring integration documentation http://docs.spring.io/spring-integration/docs/4.2.4.RELEASE/reference/html/messaging-endpoints-chapter.html#scripting-config
it specifies that the refresh-check-delay parameter is actually in milliseconds - ie the above XD configuration would recheck the script every 60 milliseconds which may be a performance concern as it will be checking the lastmodified time of the script file. 

Ideally this parameter would be configurable - in our case we would usually eliminate the refresh check altogether (set to -1) as our scripts will not change (or if they did a redeploy of the module would pick it up)

","[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Bug,False,Major,david_geary,,Complete,2016-02-12T22:08:53.000+0000,10001,Done,In Progress,Incorrect refresh period for groovy scripts,2016-02-12T22:08:53.000+0000,"[{u'archived': False, u'description': u'1.3.0 GA Release', u'self': u'https://jira.spring.io/rest/api/2/version/15101', u'releaseDate': u'2015-11-19', u'released': True, u'id': u'15101', u'name': u'1.3 GA'}]",1,XD-3739,5.0,xd,Sprint 67
15,dturanski,"[{u'id': u'12786', u'self': u'https://jira.spring.io/rest/api/2/component/12786', u'description': u'Server and Module property configuration', u'name': u'Configuration'}]",2016-02-03T09:40:05.000+0000,dturanski,"Spring XD keeps passwords in text files such sas servers.yml, properties files, and module configuration files. Some users have requested a way to store encrypted values rather than clear text.  XD should provide a ""hook"" for users to provide a custom component to detect encrypted property values and decrypt them during container, admin, and module initialization.","[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Improvement,False,Minor,dturanski,,Complete,2016-02-16T15:46:51.000+0000,10001,Done,In Progress,Encrypt secret information in XD configuration files,2016-02-23T18:20:24.000+0000,[],1,XD-3738,2.0,xd,Sprint 68
16,hillert,"[{u'id': u'12785', u'self': u'https://jira.spring.io/rest/api/2/component/12785', u'description': u'RESTful semantics for controllers', u'name': u'REST'}]",2016-02-02T17:52:11.000+0000,hillert,"In the following PR we removed the *RestLogoutSuccessHandler*. 

https://github.com/spring-projects/spring-xd/pull/1562

This is necessary, though, for REST calls and the Admin UI. Otherwise some weird UI behavior might occur due to the HTTP redirect.","[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Bug,False,Minor,hillert,,Complete,2016-02-03T19:55:36.000+0000,10001,Done,In Progress,REST - Do not redirect after logout,2016-02-03T19:55:36.000+0000,"[{u'archived': False, u'name': u'1.3 GA', u'self': u'https://jira.spring.io/rest/api/2/version/15101', u'releaseDate': u'2015-11-19', u'released': True, u'id': u'15101', u'description': u'1.3.0 GA Release'}]",2,XD-3737,1.0,xd,Sprint 67
17,grussell,"[{u'id': u'12695', u'self': u'https://jira.spring.io/rest/api/2/component/12695', u'description': u'DIRT Runtime', u'name': u'Runtime'}]",2016-02-01T19:00:42.000+0000,grussell,"PubSub consumers can support concurrency since the threads are competing consumers on the queue.

","[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Improvement,False,Minor,grussell,,Complete,2016-02-12T22:09:21.000+0000,10001,Done,In Progress,Rabbit Pub/Sub Consumers Should Support Concurrency,2016-02-23T17:56:41.000+0000,"[{u'archived': False, u'name': u'1.3 GA', u'self': u'https://jira.spring.io/rest/api/2/version/15101', u'releaseDate': u'2015-11-19', u'released': True, u'id': u'15101', u'description': u'1.3.0 GA Release'}]",1,XD-3736,2.0,xd,Sprint 67
18,,"[{u'id': u'12731', u'self': u'https://jira.spring.io/rest/api/2/component/12731', u'description': u'Development of source, processing, sink module functionality', u'name': u'Stream Module'}]",2016-01-20T12:01:55.000+0000,dturanski,Add option to write to Splunk named index as an alternative to tcp.,[],Improvement,False,Minor,dturanski,,,,10000,To Do,To Do,Splunk sink - add option to write to index ,2016-02-01T14:14:11.000+0000,[],1,XD-3735,1.0,xd,
19,grussell,[],2016-01-15T19:55:40.000+0000,grussell,See http://stackoverflow.com/questions/34817906/spring-xd-rabbitmq-partitioned-stream-deployment-in-failure,"[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Bug,False,Minor,grussell,,Complete,2016-02-12T22:10:03.000+0000,10001,Done,In Progress,AutoBindDLQ Incompatible with Partitioned Streams (Producer Side).,2016-02-12T22:10:03.000+0000,"[{u'archived': False, u'description': u'1.3.0 GA Release', u'self': u'https://jira.spring.io/rest/api/2/version/15101', u'releaseDate': u'2015-11-19', u'released': True, u'id': u'15101', u'name': u'1.3 GA'}]",1,XD-3734,1.0,xd,Sprint 67
20,grussell,"[{u'id': u'12786', u'self': u'https://jira.spring.io/rest/api/2/component/12786', u'description': u'Server and Module property configuration', u'name': u'Configuration'}]",2016-01-14T13:10:10.000+0000,dturanski,"Add spring.redis.pool.*  properties to server.yml, commented out to show default values., e.g., 

   maxIdle: 8,
   minIdle: 0, 
   maxActive: 8,
   maxWait: -1
","[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Improvement,False,Minor,dturanski,,Complete,2016-02-12T22:10:45.000+0000,10001,Done,In Progress,Document redis pool properties in servers.yml,2016-02-12T22:10:45.000+0000,[],1,XD-3733,1.0,xd,Sprint 67
21,,[],2016-01-13T23:26:00.000+0000,sabby,"As a developer, I'm adding new overrides to {{server.yml}} file; however, the overridden properties do not reflect even after the restart of server. ",[],Bug,False,Minor,sabby,"The problem is incorrectly reported as a issue, is caused by other external factors or misuse.",Invalid,2016-01-14T14:26:16.000+0000,10001,Done,In Progress,Overrides to servers.yml file aren't taken into account,2016-01-14T14:26:27.000+0000,[],2,XD-3732,2.0,xd,
